Region;Macron;Le Pen;Fillon;Melanchon;Hamon;Dupont Aignan;Lassalle;Poutou;Asselineau;Arthaud;Cheminade;Blancs;Nuls;Inscrits;Exprimés;;
Ile-de-France;1 612 516;708 026;1 249 586;1 224 978;430 324;226 203;36 350;45 705;64 391;23 582;9 795;87 595;32 458;7 199 231;5 631 456;;
Auvergne-Rhone-Alpes;1 025 872;867 591;845 905;805 588;256 532;215 883;53 247;43 509;41 336;24 656;7 597;78 647;30 798;5 416 712;4 187 716;;
Nouvelle-Aquitaine;851 304;640 148;602 830;703 439;240 157;155 581;91 904;49 646;26 664;21 439;6 262;63 983;30 437;4 329 942;3 389 374;;
Hauts-de-France;630 285;1 003 216;521 373;633 313;166 630;160 721;22 410;33 652;26 043;29 193;5 688;58 622;25 548;4 241 887;3 232 524;;
Occitanie;740 031;762 087;566 036;734 193;216 349;135 403;75 482;35 216;28 603;16 776;5 524;56 860;27 267;4 194 294;3 315 700;;
Grand-Est;615 776;825 604;586 390;484 810;151 296;182 200;30 508;34 468;30 223;24 272;6 078;55 656;20 290;3 873 402;2 971 625;;
Provence-Alpes-Cote d'Azur;520 978;774 781;615 524;515 415;113 365;119 050;29 554;21 314;25 950;10 437;4 569;44 480;15 421;3 567 740;2 750 937;;
Pays de la Loire;575 832;364 267;516 428;403 455;143 491;109 842;16 988;26 340;15 529;16 018;3 731;44 175;16 603;2 705 170;2 191 921;;
Bretagne;581 076;306 644;380 815;385 736;180 827;87 928;19 097;27 092;13 419;14 296;3 400;34 417;13 865;2 453 683;2 000 330;;
Normandie;422 960;452 586;370 105;362 426;113 705;98 907;13 896;23 804;14 301;15 194;3 544;35 209;13 181;2 398 182;1 891 428;;
Bourgogne-Franche-Comte;338 191;387 662;304 391;276 958;87 386;87 267;15 847;18 533;14 332;11 496;2 843;31 180;12 573;2 001 656;1 544 906;;
Centre-Val de Loire;323 725;329 470;300 325;252 308;83 552;82 060;13 570;16 282;12 075;11 365;2 882;27 910;11 368;1 827 657;1 427 614;;
La Reunion;66 292;82 219;60 508;85 987;26 872;10 123;1 939;4 377;6 029;5 190;944;11 468;13 304;639 481;350 480;;
Guadeloupe;33 930;15 159;16 305;27 081;11 165;2 042;650;2 300;1 312;1 972;326;5 630;8 779;316 345;112 242;;
Martinique;27 893;11 949;18 400;29 903;10 661;2 338;870;3 217;1 407;2 253;373;8 152;6 541;310 812;109 264;;
Corse;28 528;43 041;39 453;21 314;5 780;4 462;8 711;1 374;965;495;253;2 874;1 741;233 656;154 376;;
Polynésie Française;11 119;24 604;26 679;5 952;2 203;1 767;447;755;1 206;689;201;1 929;1 862;203 940;75 622;;
Nouvelle-Calédonie;11 089;25 290;27 065;7 703;8 125;2 521;695;1 284;2 098;836;240;2 969;1 311;189 483;86 946;;
Guyane;5 031;6 521;3 935;6 633;1 529;472;273;1 405;480;462;98;3 831;1 255;92 935;26 839;;
Mayotte;6 364;9 008;10 808;2 789;1 434;1 019;182;621;408;334;163;925;2 132;83 047;33 130;;
Wallis-et-Futuna;1 630;380;1 526;192;1 349;79;29;41;50;54;18;35;28;8 464;5 348;;
Saint-Pierre-et-Miquelon;473;478;261;933;217;79;54;64;36;28;9;70;26;4 966;2 632;;
Français de l'étanger;223 879;35 926;145 829;87 692;38 092;8 837;2 530;3 414;5 578;1 312;1 030;3 169;2 442;1 264 113;554 119;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
